rank,residual_name,freq,cumulative_pct,type,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis),reason
51,host health state,4704462,63.2693,,diseased(37473) ; healthy(10940) ; disease(7858) ; carriage(6788) ; Diseased(5493) ; IPD(4618) ; Carriage(4231) ; not known(4103) ; Healthy(3807) ; Not known(2943) ; Disease(2590) ; disease:tuberculosis(1938) ; not available: to be reported later(1656) ; sick(1569) ; disease: bacteraemia(1527),host health state,diseased(37473) ; healthy(10940) ; disease(7858) ; carriage(6788) ; Diseased(5493) ; IPD(4618) ; Carriage(4231) ; not known(4103) ; Healthy(3807) ; Not known(2943) ; Disease(2590) ; disease:tuberculosis(1938) ; not available: to be reported later(1656) ; sick(1569) ; disease: bacteraemia(1527),,规范键(其他并入它),Host,是,
52,host common name,4670286,63.8178,,Human(202132) ; human(131424) ; mouse(17102) ; Savannah baboon(14371) ; maize(4739) ; Homo sapiens(3924) ; sponges(3142) ; mosquito(2262) ; pig(1917) ; Mus musculus(1609) ; house mouse(1429) ; pacific chub mackerel(1340) ; sheep(1326) ; tree swallow(1298) ; Pacific oyster(1224),host common name,Human(202132) ; human(131424) ; mouse(17102) ; Savannah baboon(14371) ; maize(4739) ; Homo sapiens(3924) ; sponges(3142) ; mosquito(2262) ; pig(1917) ; Mus musculus(1609) ; house mouse(1429) ; pacific chub mackerel(1340) ; sheep(1326) ; tree swallow(1298) ; Pacific oyster(1224),,规范键(其他并入它),Host,是,
53,host sex,4545958,64.3516,,"female(345439) ; male(278368) ; Female (F)(730) ; Male (M)(634) ; pooled male and female(315) ; Female(258) ; hermaphrodite(233) ; Male(183) ; neuter(135) ; Nymph(69) ; female, spayed(28) ; gelding(22) ; male, castrated(18) ; MN(17) ; FN(13)",host sex,"female(345439) ; male(278368) ; Female (F)(730) ; Male (M)(634) ; pooled male and female(315) ; Female(258) ; hermaphrodite(233) ; Male(183) ; neuter(135) ; Nymph(69) ; female, spayed(28) ; gelding(22) ; male, castrated(18) ; MN(17) ; FN(13)",,规范键(其他并入它),Host,是,
54,collector name,4461306,64.8756,freetext/high-card,"Chaoran Chen et al(15517) ; PANGEA_HIV Project(8002) ; Christian Beisel et al(6714) ; Dutch COVID-19 response team(5757) ; deCODE genetics(3149) ; Chaoran Chen, Sarah Nadeau, Catharine Aquino, Ivan Topolsky, Kim Philipp Jablonski, Lara Fuhrmann, Daniel Ehrsam, Isabel Stürmer, Andreia Cabral de Gouvea, Maria Domenica Moccia, Simon Grüter, Timothy Sykes, Lennart Opitz, Griffin White, Laura Neff, Doris Popovic, Andrea Patrignani, Jay Tracy, Ralph Schlapbach, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Niko Beerenwinkel, Tanja Stadler(2895) ; Samuel Cordey et al(2610) ; Tim Roloff et al(2394) ; The National University Hospital of Iceland(2219) ; Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Manuel Battegay, Hans Hirsch, Adrian Egli(1725) ; Darío García de Viedma, Laura Pérez-Lago, Pedro J Sola-Campoy, Sergio Buenestado-Serrano, Marta Herranz, Victor Manuel de la Cueva, Julia Suárez, Pilar Catalán, Patricia Muñoz and SeqCOVID-Spain consortium(1618) ; Trestan Pillonel, Damien Jacot, Sébastien Aeby, Gilbert Greub, Claire Bertelli(1479) ; María de Toro, José Manuel Azcona Gutiérrez, María Pilar Bea Escudero, Miriam Blasco Alberdi and SeqCOVID-Spain consortium(1292) ; Sheffield COVID-19 Genomics Group(1279) ; Gustavo Cilla Eguiluz, Milagrosa Montes Ros, Luis Piñeiro Vázquez, Ane Sorrarain, Jose Maria Marimón and SeqCOVID-Spain consortium(1169)",collector name,,,独立键(仅自身),Admin,否,
55,geographic location (longitude),4454015,65.3986,freetext/high-card,-95.7129(32670) ; -3.206493(25753) ; 7.6921(20869) ; 116.3636(19917) ; 9.5018(13493) ; -3.7492(9351) ; -64.17(6453) ; -3.197356(5571) ; -0.12(4957) ; 5.2913(4622) ; -90.263794(4375) ; 1(4192) ; 10.4515(3787) ; -3.6066(3553) ; -79.051266(2636),longitude,,,合并→ longitude,Geography,是,
56,geographic location (latitude),4453534,65.9216,freetext/high-card,37.0902(32678) ; 55.861398(25753) ; 53.1424(21038) ; 39.9138(19917) ; 56.2639(13461) ; 40.4637(9488) ; 31.07(6449) ; 55.86513(5569) ; 51.5(5210) ; 52.1326(4622) ; 38.63699(4375) ; 1(3837) ; 51.1657(3787) ; 57.0607(3553) ; 35.908070(2636),latitude,,,合并→ latitude,Geography,是,
57,project name,4357432,66.4334,,PulseNet(214426) ; Human gut MAGs(181002) ; GenomeTrakr(75490) ; Tara Pacific Expedition (2016-2018)(57290) ; FSIS Product/Environmental Sampling(38007) ; Metagenomic sequencing of the rumen of 240 cattle from Scotland(25654) ; NARMS-FSIS Cecal(24517) ; BRIDGE SSDs(22713) ; microbes in stratified freshwaters(13086) ; Harnessing the complexity of the marine microbiome through single cell genomics(12715) ; DevelopmentEcologyoftheHumanMicrobiome_LongitudinalStudy(6436) ; DSMP(6277) ; Amplicon metagenomics of root-associated fungi(6040) ; PRJEB33338(5570) ; Human gut genomes(4644),project name,PulseNet(214426) ; Human gut MAGs(181002) ; GenomeTrakr(75490) ; Tara Pacific Expedition (2016-2018)(57290) ; FSIS Product/Environmental Sampling(38007) ; Metagenomic sequencing of the rumen of 240 cattle from Scotland(25654) ; NARMS-FSIS Cecal(24517) ; BRIDGE SSDs(22713) ; microbes in stratified freshwaters(13086) ; Harnessing the complexity of the marine microbiome through single cell genomics(12715) ; DevelopmentEcologyoftheHumanMicrobiome_LongitudinalStudy(6436) ; DSMP(6277) ; Amplicon metagenomics of root-associated fungi(6040) ; PRJEB33338(5570) ; Human gut genomes(4644),,规范键(其他并入它),Admin,否,
58,env_broad_scale,3952427,66.8975,,,broad-scale environmental context,,,合并→ broad-scale environmental context,Environment,是,
59,common name,3906571,67.3563,freetext/high-card,human(351111) ; house mouse(235022) ; domesticated barley(85611) ; malaria parasite P. falciparum(61190) ; Streptococcus pneumoniae(46626) ; baker's yeast(46246) ; Human(41255) ; SARS-CoV-2(34074) ; zebrafish(31915) ; thale cress(31837) ; African malaria mosquito(31744) ; Escherichia coli(28545) ; Human coronavirus 2019(24777) ; fruit fly(19379) ; gut metagenome(19334),common name,,,独立键(仅自身),Sample,是,
60,env_medium,3888006,67.8129,,,environmental medium,,,合并→ environmental medium,Environment,是,
61,env_local_scale,3887892,68.2695,,,local-scale environmental context,,,合并→ local-scale environmental context,Environment,是,
62,subject is affected,3318585,68.6592,,Yes(1178059) ; No(844757) ; 0(56850) ; 1(41370) ; control(1541) ; Case(1377) ; Control(1161) ; case(535) ; cont(54) ; low density (control)(16) ; high density (case)(16) ; Atopic Dermatitis(1),subject is affected,Yes(1178059) ; No(844757) ; 0(56850) ; 1(41370) ; control(1541) ; Case(1377) ; Control(1161) ; case(535) ; cont(54) ; low density (control)(16) ; high density (case)(16) ; Atopic Dermatitis(1),,规范键(其他并入它),Host,是,
63,histological type,3289371,69.0455,,Blood(533595) ; blood(179459) ; BLOOD(115429) ; White Blood Cells(66757) ; T-cells(37838) ; Saliva(34345) ; invasive(29037) ; Stool(27072) ; Serous Cystadenocarcinoma(23439) ; Synovium(20589) ; Synovial tissue(20287) ; BUCCAL CELLS(19958) ; Untreated primary (De Nova) GBM(18994) ; Single nucleus(18200) ; Buffy Coat(17971),histological type,Blood(533595) ; blood(179459) ; BLOOD(115429) ; White Blood Cells(66757) ; T-cells(37838) ; Saliva(34345) ; invasive(29037) ; Stool(27072) ; Serous Cystadenocarcinoma(23439) ; Synovium(20589) ; Synovial tissue(20287) ; BUCCAL CELLS(19958) ; Untreated primary (De Nova) GBM(18994) ; Single nucleus(18200) ; Buffy Coat(17971),,规范键(其他并入它),Host,是,
64,host_age,3222173,69.4239,,20-29(8203) ; 28(6607) ; 26(6599) ; 25(6539) ; 27(6537) ; 21(6429) ; 23(6422) ; 30(6388) ; 24(6265) ; 35(6216) ; 29(6178) ; 22(6125) ; 30-39(6072) ; 31(5915) ; 32(5739),host age,20-29(8203) ; 28(6607) ; 26(6599) ; 25(6539) ; 27(6537) ; 21(6429) ; 23(6422) ; 30(6388) ; 24(6265) ; 35(6216) ; 29(6178) ; 22(6125) ; 30-39(6072) ; 31(5915) ; 32(5739),,规范键(其他并入它),Host,是,
65,host_sex,3192373,69.7988,,"female(345439) ; male(278368) ; Female (F)(730) ; Male (M)(634) ; pooled male and female(315) ; Female(258) ; hermaphrodite(233) ; Male(183) ; neuter(135) ; Nymph(69) ; female, spayed(28) ; gelding(22) ; male, castrated(18) ; MN(17) ; FN(13)",host sex,"female(345439) ; male(278368) ; Female (F)(730) ; Male (M)(634) ; pooled male and female(315) ; Female(258) ; hermaphrodite(233) ; Male(183) ; neuter(135) ; Nymph(69) ; female, spayed(28) ; gelding(22) ; male, castrated(18) ; MN(17) ; FN(13)",,规范键(其他并入它),Host,是,
66,dev_stage,2998784,70.151,,,development stage,,,合并→ development stage,Host,是,
67,environmental medium,2919943,70.4939,,,environmental medium,,,规范键(其他并入它),Environment,是,
68,broad-scale environmental context,2919602,70.8368,,,broad-scale environmental context,,,规范键(其他并入它),Environment,是,
